Name,Price per Unit,Price per Measure,Promo,Stock
Guinness Original Cans 12 x 440ml,£12,£2.27 per litre,,In stock
Guinness Draught Cans 10 x 440ml,£12,£2.73 per litre,,In stock
Guinness Foreign Extra Stout 4 x 325ml,£6,£4.62 per litre,"Offer price £6, was £6.90",In stock
Marston's Pedigree Pale Ale Bottle 500ml,£1,£2.00 per litre,"Offer price £1, was £1.75",In stock
Bombardier Bitter Bottle 500ml,£1,£2.00 per litre,"Offer price £1, was £1.75",In stock
Old Speckled Hen 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Guinness Draught Cans 15 x 440ml,£13,£1.97 per litre,"Offer price £13, was £16",In stock
Newcastle Brown Ale Bottle 550ml,£1.75,£3.18 per litre,Buy 4 for £6,In stock
John Smith's Extra Smooth Ale Cans 18 x 440ml,£13,£1.64 per litre,"Offer price £13, was £15",In stock
Hobgoblin Gold 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Sharp's Doom Bar Amber Ale 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Oakham Citra 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Timothy Taylor's Landlord Strong Pale Ale Bottle 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Titanic Dark Strong Plum Porter (Abv 4.9%) 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Saltaire Blonde Premium Ale 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Adnams Ghost Ship Ale 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Theakston Old Peculier 500ml,£1.85,£3.70 per litre,Buy 4 for £6,In stock
Spitfire Premium Ale Bottle 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Morland's Old Crafty Hen Vintage Ale Bottle 500ml,£1.95,£3.90 per litre,Buy 4 for £6,In stock
McEwan's Champion 500ml,£1.85,£3.70 per litre,Buy 4 for £6,In stock
Greene King Abbot Ale Bottle 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
St Austell Tribute 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Marstons Old Empire 500ml,£1.85,£3.70 per litre,Buy 4 for £6,In stock
Wainwright Golden Ale 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Fuller's London Pride Bottle 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Bishops Finger Strong Ale Bottle 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
