Name,Price per Unit,Price per Measure,Promo,Stock
Marston's Pedigree Pale Ale Bottle 500ml,£1,£2.00 per litre,"Offer price £1, was £1.75",In stock
Bombardier Bitter Bottle 500ml,£1,£2.00 per litre,"Offer price £1, was £1.75",In stock
Old Speckled Hen 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Newcastle Brown Ale Bottle 550ml,£1.75,£3.18 per litre,Buy 4 for £6,In stock
Hobgoblin Gold 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Oakham Citra 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Titanic Dark Strong Plum Porter (Abv 4.9%) 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Saltaire Blonde Premium Ale 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Adnams Ghost Ship Ale 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Spitfire Premium Ale Bottle 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Greene King Abbot Ale Bottle 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
St Austell Tribute 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Marstons Old Empire 500ml,£1.85,£3.70 per litre,Buy 4 for £6,In stock
Wainwright Golden Ale 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Bishops Finger Strong Ale Bottle 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Morrisons The Best IPA (Abv 5.5%) 500ml,£1.85,£3.70 per litre,Buy 4 for £6,In stock
Ilkley Mary Jane 3.5% 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Purity Brewing Co. Mad Goose Pale Ale 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Brewdog Elvis Juice 330ml,£1.95,£5.91 per litre,Buy 4 for £6,In stock
Thornbridge Jaipur India Pale Ale 4 x 330ml,£6,£4.55 per litre,Buy 2 for £10,In stock
Two Hoots Golden Ale 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Magic Rock Brewing Saucery Session Ipa 330ml,£1.95,£5.91 per litre,Buy 4 for £6,In stock
1698 Celebration Ale 500ml,£1.95,£3.90 per litre,Buy 4 for £6,In stock
Well's Banana Bread Beer Bottle 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Double Maxim Premium Brown Ale 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
BrewDog Dead Pony 4 x 330ml,£6,£4.55 per litre,Buy 2 for £10,In stock
Innis & Gunn Oak Aged Beer Bottle 330ml,£1.95,£5.91 per litre,Buy 4 for £6,In stock
Glamorgan Welsh Pale Ale 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Spitfire Gold 500ml 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Innis & Gunn Blood Red Sky 330ml,£1.95,£5.91 per litre,Buy 4 for £6,In stock
Bath Ales Gem 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
La Goudale 33cl,£1.95,£5.91 per litre,Buy 4 for £6,In stock
Blue Moon Belgian White American Craft Wheat Beer 330ml,£1.85,£5.61 per litre,Buy 4 for £6,In stock
Siren Soundwave Ipa 330ml,£1.95,£5.91 per litre,Buy 4 for £6,In stock
Felinfoel Double Dragon 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Oakham Inferno Ale 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Schofferhofer Wheat Beer Mix Grapefruit 330ml,£1.85,£5.61 per litre,Buy 4 for £6,In stock
Disco Fork Lift Truck Mango Pale Ale (Abv 5.1%) 330ml,£1.85,£5.61 per litre,Buy 4 for £6,In stock
Moorhouse's Blond Witch (Abv 4.4%) 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Innis & Gun Original 660ml,£2.75,£4.17 per litre,Buy 2 for £5,In stock
Northern Monk New World IPA 4 x 330ml,£6.54,£4.95 per litre,Buy 2 for £10,In stock
Skinners Betty Stogs 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Ringwood Everyday IPA Circadian 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Crossing The Rubicon India Pale Ale (Abv 6.9%) 330ml,£1.95,£5.91 per litre,Buy 4 for £6,In stock
Brewdog Hazy Jane 4 x 330ml,£6,£4.55 per litre,Buy 2 for £10,In stock
Thornbridge Green Mountain Hazy Vermont Session Ipa 4 x 330ml,£6,£4.55 per litre,Buy 2 for £10,In stock
Lagunitas IPA Beer Bottle 355ml,£1.95,£5.49 per litre,Buy 4 for £6,In stock
Northern Monk Eternal Session IPA 4 x 330ml,£6,£4.55 per litre,Buy 2 for £10,In stock
Thornbridge Jaipur IPA 330ml,£1.95,£5.91 per litre,Buy 4 for £6,In stock
Adnams Lighthouse 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Kirkstall Brewery Virtuous Aromatic Session Ipa 330ml,£1.95,59.1p per 100ml,Buy 4 for £6,In stock
Thornbridge Salted Caramel Lucaria 330ml,£1.95,£5.91 per litre,Buy 4 for £6,In stock
Butcombe Original 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Black Sheep Brewery Milkshake Ipa 330ml,£1.85,£5.61 per litre,Buy 4 for £6,In stock
Brewdog Duopolis 4 x 330ml,£6,£4.55 per litre,Buy 2 for £10,In stock
Vocation Brewery Life & Death Ipa 330ml,£1.95,£5.91 per litre,Buy 4 for £6,In stock
Northern Monk Rapscallion IPA 330ml,£1.95,£5.91 per litre,Buy 4 for £6,In stock
Brooklyn Naranjito Pale Ale Beer 355ml,£1.85,£5.21 per litre,Buy 4 for £6,In stock
Lagunitas Ipa 4 x 355ml,£6,£4.23 per litre,Buy 2 for £10,In stock
Wanderlust Ipa 330Ml (Abv 6.5%) 330ml,£1.95,£5.91 per litre,Buy 4 for £6,In stock
Badger The Wicked Wyvern Ipa 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Unicorn Premium Ale 500ml,£1.75,£3.50 per litre,Buy 4 for £6,In stock
Vocation Brewery Divide & Conquer 4 x 330ml,£6,£4.55 per litre,Buy 2 for £10,In stock
London Fields Brewery Hackney Hopster Pale Ale 330ml,£1.85,£5.61 per litre,Buy 4 for £6,In stock
Kirkstall Brewery Perpetuous 330ml,£1.95,£5.91 per litre,Buy 4 for £6,In stock
Thornbridge Green Mountain Hazy Vermont Session Ipa 330ml,£1.95,59.1p per 100ml,Buy 4 for £6,In stock
