Name,Price per Unit,Price per Measure,Promo,Stock
Peroni Nastro Azzurro 12 x 330ml,£12,£3.03 per litre,"Offer price £12, was £16.50",In stock
San Miguel Alcohol Free Lager Beer 4 x 330ml,£3.75,£2.84 per litre,,In stock
Carling Original Lager 18 x 440ml,£9.99,£1.26 per litre,"Offer price £9.99, was £13.50",In stock
Budweiser Lager Beer Bottles 20 x 300ml,£9.99,£1.66 per litre,"Offer price £9.99, was £14",In stock
Stella Artois Premium Lager Beer Cans 10 x 440ml,£10.50,£2.39 per litre,Buy 2 for £16,In stock
Birra Moretti Lager Beer Bottle 660ml,£2.25,£3.41 per litre,Buy 3 for £5,In stock
Corona Extra Premium Lager Beer bottles 12 x 330ml,£9.99,£2.53 per litre,"Offer price £9.99, was £12.50",In stock
Foster's Lager Beer Cans 18 x 440ml,£12,£1.52 per litre,"Offer price £12, was £14",In stock
San Miguel Premium Lager Beer 12 x 330ml,£9,£2.28 per litre,"Offer price £9, was £10",In stock
Birra Moretti Lager Beer Cans 6 x 330ml,£6,£3.03 per litre,Buy 2 for £10,In stock
Heineken Premium Lager Beer Bottles 12 x 330ml,£10,£2.53 per litre,Buy 2 for £16,In stock
Peroni Nastro Azzurro 12 x 330ml,£12,£3.03 per litre,"Offer price £12, was £16.50",In stock
Budweiser Lager Beer Cans 10 x 440ml,£10.50,£2.39 per litre,Buy 2 for £16,In stock
Coors Light 12 x 330ml,£9.75,£2.46 per litre,Buy 2 for £16,In stock
Peroni Nastro Azzurro 620ml,£2.60,£4.19 per litre,Buy 2 for £4,In stock
Stella Artois Premium Lager Beer Bottles 12 x 330ml,£11,£2.78 per litre,Buy 2 for £16,In stock
Heineken Premium Lager Beer Cans 15 x 440ml,£12,18.2p per 100ml,"Offer price £12, was £14",In stock
San Miguel Premium Lager Beer 660ml,£2.25,£3.41 per litre,Buy 3 for £5,In stock
Keo 630ml,£2.25,£3.57 per litre,Buy 3 for £5,In stock
Beck's Blue Alcohol-Free Beer Bottles 15 x 275ml,£6,£1.46 per litre,"Offer price £6, was £8",In stock
Staropramen Premium Czech Lager 660ml,£2.25,£3.41 per litre,Buy 3 for £5,In stock
Sol Original Beer Bottles 12 x 330ml,£10,£2.53 per litre,Buy 2 for £16,In stock
Kronenbourg 1664 Lager Beer Bottles 12 x 275ml,£10,£3.03 per litre,Buy 2 for £16,In stock
Coors Light 15 x 440ml,£9.99,£1.51 per litre,"Offer price £9.99, was £14",In stock
Desperados Tequila Lager Beer Bottles 12 x 250ml,£9.99,£3.33 per litre,"Offer price £9.99, was £12",In stock
Carlsberg Lager Beer 10 x 440ml,£9.50,£2.16 per litre,Buy 2 for £16,In stock
Cobra Premium Lager 620ml,£2.25,£3.63 per litre,Buy 3 for £5,In stock
Coors Light Lager 10 x 440ml,£10,£2.27 per litre,Buy 2 for £16,In stock
Morrisons Lager 3.5% 4 x 440ml,£2.25,£1.28 per litre,"Offer price £2.25, was £2.35",In stock
Bud Light Lager Beer bottles 12 x 300ml,£9.50,26.4p per 100ml,Buy 2 for £16,In stock
Corona Extra Premium Lager Beer bottles 18 x 330ml,£15,£2.53 per litre,"Offer price £15, was £19",In stock
